bookloans_BookID,bookloans_BranchID,bookloans_CardNo,bookloans_DateOut,bookloans_DueDate
1,1,100,2018-01-01,2018-02-02
2,1,100,2018-01-01,2018-02-02
3,1,100,2018-01-01,2018-02-02
4,1,100,2018-01-01,2018-02-02
5,1,102,2018-01-03,2018-02-03
6,1,102,2018-01-03,2018-02-03
7,1,102,2018-01-03,2018-02-03
8,1,102,2018-01-03,2018-02-03
9,1,102,2018-01-03,2018-02-03
11,1,102,2018-01-03,2018-02-03
12,2,105,2017-12-12,2018-01-12
10,2,105,2017-12-12,2017-01-12
20,2,105,2018-02-03,2018-03-03
18,2,105,2018-01-05,2018-02-05
19,2,105,2018-01-05,2018-02-05
19,2,100,2018-01-03,2018-02-03
11,2,106,2018-01-07,2018-02-07
1,2,106,2018-01-07,2018-02-07
2,2,100,2018-01-07,2018-02-07
3,2,100,2018-01-07,2018-02-07
5,2,105,2017-12-12,2018-01-12
4,3,103,2018-01-09,2018-02-09
7,3,102,2018-01-03,2018-02-03
17,3,102,2018-01-03,2018-02-03
16,3,104,2018-01-03,2018-02-03
15,3,104,2018-01-03,2018-02-03
15,3,107,2018-01-03,2018-02-03
14,3,104,2018-01-03,2018-02-03
13,3,107,2018-01-03,2018-02-03
13,3,102,2018-01-03,2018-02-03
19,3,102,2017-12-12,2018-01-12
20,4,103,2018-01-03,2018-02-03
1,4,102,2018-01-12,2018-02-12
3,4,107,2018-01-03,2018-02-03
18,4,107,2018-01-03,2018-02-03
12,4,102,2018-01-04,2018-02-04
11,4,103,15-01-2018,15-02-2018
9,4,103,15-01-2018,15-02-2018
7,4,107,2018-01-01,2018-02-02
4,4,103,2018-01-01,2018-02-02
1,4,103,2017-02-02,2018-03-02
20,4,103,2018-01-03,2018-02-03
1,4,102,2018-01-12,2018-02-12
3,4,107,13-01-2018,13-02-2018
18,4,107,13-01-2018,13-02-2018
12,4,102,14-01-2018,14-02-2018
11,4,103,15-01-2018,15-02-2018
9,4,103,15-01-2018,15-02-2018
7,4,107,19-01-2018,19-02-2018
4,4,103,19-01-2018,19-02-2018
1,4,103,22-01-2018,22-02-2018